Title,Code
Penetration Firestopping Mortars,07 84 13.13
Penetration Firestopping Devices,07 84 13.16
Interior Expansion Joint Cover Assemblies,07 95 13.13
Exterior Expansion Joint Cover Assemblies,07 95 13.16
Parking Deck Expansion Joint Cover Assemblies,07 95 13.19
Standard Hollow Metal Doors and Frames,08 11 13.13
Custom Hollow Metal Doors and Frames,08 11 13.16
Steel Screen and Storm Doors and Frames,08 11 63.13
Aluminum Screen and Storm Doors and Frames,08 11 63.23
Steel Screen Doors and Frames,08 11 66.13
Aluminum Screen Doors and Frames,08 11 66.23
Steel Storm Doors and Frames,08 11 69.13
Aluminum Storm Doors and Frames,08 11 69.23
Standard Hollow Metal Frames,08 12 13.13
Custom Hollow Metal Frames,08 12 13.53
Fire-Rated Aluminum Frames,08 12 16.13
Standard Hollow Metal Doors,08 13 13.13
Custom Hollow Metal Doors,08 13 13.53
Aluminum Terrace Doors,08 13 16.13
Metal-Faced Wood Doors,08 14 23.13
Plastic-Laminate-Faced Wood Doors,08 14 23.16
Plastic-Faced Wood Doors,08 14 23.17
Molded-Hardboard-Faced Wood Doors,08 14 23.19
Wood Terrace Doors,08 14 33.13
Security Access Doors and Frames,08 31 13.53
Overhead Rapid Coiling Doors,08 33 23.13
Neutron Shielding Doors and Frames,08 34 49.13
Metal Sound Control Door Assemblies,08 34 73.13
Wood Sound Control Door Assemblies,08 34 73.16
Accordion Folding Doors,08 35 13.13
Accordion Folding Fire Doors,08 35 13.23
Panel Folding Doors,08 35 13.33
Accordion Folding Grilles,08 35 16.13
Fire-Rated Aluminum-Framed Entrances and Storefronts,08 41 13.13
Point Supported All-Glass Storefronts,08 41 26.13
Folding Automatic Entrances,08 42 29.13
Sliding Automatic Entrances,08 42 29.23
Swinging Automatic Entrances,08 42 29.33
Security Revolving Door Entrances,08 42 33.13
Fire-Rated Aluminum Storefronts,08 43 13.13
Glazed Fiberglass Curtain Wall,08 44 12.13
Glass Framed Point Supported Glass Curtain Walls,08 44 26.13
Metal Framed Point Supported Glass Curtain Walls,08 44 26.16
Cable Framed Point Supported Glass Curtain Walls,08 44 26.23
Hot-Rolled Steel Windows,08 51 23.13
Cold-Rolled Steel Windows,08 51 23.23
Safety Films,08 87 23.13
Security Films,08 87 23.16
Electronically Controlled Switchable Glass,08 88 36.16
Gypsum Board Shaft Wall Assemblies,09 21 16.23
Gypsum Board Area Separation Wall Assemblies,09 21 16.33
Metal Channel Furring,09 22 13.13
Resilient Channel Furring,09 22 13.23
Non-Structural Metal Stud Framing,09 22 16.13
Metal Suspension Systems,09 22 26.23
Plastic Suspension Systems,09 22 26.33
Gypsum Lath,09 22 36.13
Metal Lath,09 22 36.23
Acrylic Plaster Finish,09 25 13.13
Acoustical Snap-in Metal Pan Ceilings,09 51 33.13
Aluminum Flooring,09 62 63.13
Stainless Steel Flooring,09 62 63.16
Chemical-Resistant Brick Flooring,09 63 13.35
Acrylic-Impregnated Wood Parquet Flooring,09 64 23.13
Resilient Base,09 65 13.13
Resilient Stair Treads and Risers,09 65 13.23
Resilient Stair Nosings,09 65 13.26
Resilient Accessories,09 65 13.33
Resilient Carpet Transitions,09 65 13.36
Vinyl Sheet Flooring,09 65 16.23
Rubber Sheet Flooring,09 65 16.33
PVC-Free Sheet Flooring,09 65 16.43
Vinyl Composition Tile Flooring,09 65 19.19
Vinyl Tile Flooring,09 65 19.23
Rubber Tile Flooring,09 65 19.33
Polyester Composition Tile Flooring,09 65 19.43
Static-Dissipative Resilient Flooring,09 65 36.13
Static-Resistant Resilient Flooring,09 65 36.16
Sand Cushion Terrazzo Flooring,09 66 13.13
Monolithic Terrazzo Flooring,09 66 13.16
Bonded Terrazzo Flooring,09 66 13.19
Palladina Terrazzo Flooring,09 66 13.23
Rustic Terrazzo Flooring,09 66 13.26
Structural Terrazzo Flooring,09 66 13.33
Portland Cement Terrazzo Floor Tile,09 66 16.13
Plastic-Matrix Terrazzo Floor Tile,09 66 16.16
Polyacrylate Modified Cementitious Terrazzo Flooring,09 66 23.13
Epoxy-Resin Terrazzo Flooring,09 66 23.16
Polyester-Resin Terrazzo Flooring,09 66 23.19
Conductive Epoxy-Resin Terrazzo,09 66 33.13
Conductive Polyester-Resin Terrazzo Flooring,09 66 33.16
Conductive Plastic-Matrix Terrazzo Flooring,09 66 33.19
Conductive Elastomeric Liquid Flooring,09 67 13.33
Flexible Vinyl Wall Coverings,09 72 16.13
Rigid-Sheet Vinyl Wall Coverings,09 72 16.16
Stone Base,09 75 19.13
Stone Window Stools,09 75 19.23
Exterior Staining,09 93 13.13
Exterior Finishing,09 93 13.53
Interior Staining,09 93 23.13
Interior Finishing,09 93 23.53
Interior Steel Coatings,09 97 13.13
Exterior Steel Coatings,09 97 13.23
Steel Water Storage Tank Painting,09 97 13.24
Concrete Water Storage Tank Painting,09 97 23.24
Interior Cementitious Coatings,09 97 26.13
Exterior Cementitious Coatings,09 97 26.23
Soil Stripping,31 14 13.13
Soil Stockpiling,31 14 13.16
Topsoil Stripping and Stockpiling,31 14 13.23
Sod Stripping,31 14 16.13
Sod Stockpiling,31 14 16.16
Radon Venting,31 21 13.13
Methane Venting,31 21 16.13
Roadway Subgrade Reshaping,31 22 16.13
Spreading and Grading Topsoil,31 22 19.13
Trenching,31 23 16.13
Structural Excavation for Minor Structures,31 23 16.16
Rock Removal,31 23 16.26
Backfill,31 23 23.13
Compaction,31 23 23.23
Flowable Fill,31 23 23.33
Geofoam,31 23 23.43
Hydraulically-Applied Erosion Control,31 25 14.13
Rolled Erosion Control Mats and Blankets,31 25 14.16
Rock Barriers,31 25 24.13
Rock Basins,31 25 34.13
Rodent Control Bait Systems,31 31 13.16
Rodent Control Traps,31 31 13.19
Rodent Control Electronic Systems,31 31 13.23
Rodent Control Repellants,31 31 13.26
Chemical Termite Control,31 31 16.13
Termite Control Bait Systems,31 31 16.16
Termite Control Barriers,31 31 16.19
Chemical Vegetation Control,31 31 19.13
Asphalt Soil Stabilization,31 32 13.13
Cement Soil Stabilization,31 32 13.16
Lime Soil Stabilization,31 32 13.19
Fly-Ash Soil Stabilization,31 32 13.23
Lime-Fly-Ash Soil Stabilization,31 32 13.26
Polymer Emulsion Soil Stabilization,31 32 16.13
Geogrid Soil Stabilization,31 32 19.13
Geotextile Soil Stabilization,31 32 19.16
Geogrid Layer Separation,31 32 19.19
Geotextile Layer Separation,31 32 19.23
Cementitious Pressure Grouting Soil Stabilization,31 32 23.13
Chemical Pressure Grouting Soil Stabilization,31 32 23.16
Driven Soil Nailing,31 32 36.13
Grouted Soil Nailing,31 32 36.16
Corrosion-Protected Soil Nailing,31 32 36.19
Jet-Grouted Soil Nailing,31 32 36.23
Launched Soil Nailing,31 32 36.26
Geogrid Soil Reinforcement,31 34 19.13
Geotextile Soil Reinforcement,31 34 19.16
Geosynthetic Fiber Soil Reinforcement,31 34 23.13
Geogrid Slope Protection,31 35 19.13
Geotextile Slope Protection,31 35 19.16
Slope Protection with Mulch Control Netting,31 35 19.19
Cast-In-Place Concrete Slope Paving,31 35 23.13
Precast Concrete Slope Paving,31 35 23.16
Concrete Unit Masonry Slope Paving,31 35 23.19
Clay Containment Barriers,31 35 26.13
Geomembrane Containment Barriers,31 35 26.16
Bentonite Slurry Trench,31 35 26.23
Vegetated Gabion Mattresses,31 36 19.13
Rubble-Stone Riprap,31 37 16.13
Concrete Unit Masonry Riprap,31 37 16.16
Sacked Sand-Cement Riprap,31 37 16.19
Steel Sheet Piling,31 41 16.13
Plastic Sheet Piling,31 41 16.16
Aluminum Hydraulic Shoring,31 41 19.13
Concrete Pressure Grouting,31 43 13.13
Polyurethane Pressure Grouting,31 43 13.16
Soil-Bentonite Slurry Walls,31 56 13.13
Cement-Bentonite Slurry Walls,31 56 13.16
Slag-Cement-Bentonite Slurry Walls,31 56 13.19
Soil-Cement-Bentonite Slurry Walls,31 56 13.23
Pozzolan-Bentonite Slurry Walls,31 56 13.26
Organically-Modified Bentonite Slurry Walls,31 56 13.29
Soil-Attipulgite Slurry Walls,31 56 16.13
Cast-in-Place Concrete Piles,31 62 13.13
Concrete Displacement Piles,31 62 13.16
Precast Concrete Piles,31 62 13.19
Prestressed Concrete Piles,31 62 13.23
Pressure-Injected Footings,31 62 13.26
Sheet Steel Piles,31 62 16.13
Steel H Piles,31 62 16.16
Unfilled Tubular Steel Piles,31 62 16.19
Concrete-Filled Steel Piles,31 62 23.13
Wood and Cast-In-Place Concrete Piles,31 62 23.16
Rock Sockets for Piles,31 63 19.13
Bored and Belled Concrete Piles,31 63 23.13
Bored Friction Concrete Piles,31 63 23.16
Fixed End Caisson Piles,31 63 26.13
Concrete Caissons for Marine Construction,31 63 26.16
Uncased Drilled Concrete Piers,31 63 29.13
Cased Drilled Concrete Piers,31 63 29.16
Rammed Aggregate Piles,31 66 13.13
Anchored Foundation Walls,31 66 16.13
Concrete Cribbing Foundation Walls,31 66 16.23
Metal Cribbing Foundation Walls,31 66 16.26
Manufactured Modular Foundation Walls,31 66 16.33
Mechanically Stabilized Earth Foundation Walls,31 66 16.43
Slurry Diaphragm Foundation Walls,31 66 16.46
Soldier-Beam Foundation Walls,31 66 16.53
Permanently-Anchored Soldier-Beam Foundation Walls,31 66 16.56
Lime-Treated Subgrades,32 11 13.13
Bituminous-Treated Subgrades,32 11 13.16
Sand-Clay Subbase Courses,32 11 16.13
Aggregate Subbase Courses,32 11 16.16
Sand-Clay Base Courses,32 11 23.13
Base Course Drainage Layers,32 11 23.23
Plant Mix Asphaltic Base Courses,32 11 26.13
Road Mix Asphaltic Base Courses,32 11 26.16
Bituminous-Stabilized Base Courses,32 11 26.19
Lime-Fly Ash-Treated Base Courses,32 11 29.13
Portland Cement-Stabilized Base Courses,32 11 33.13
Soil-Cement Concrete Base Courses,32 11 36.11
Lean Concrete Base Courses,32 11 36.13
Plain Cement Concrete Base Courses,32 11 36.16
Hydraulic Cement Concrete Base Courses,32 11 36.19
Tack Coats,32 12 13.13
Asphaltic Tack Coats,32 12 13.16
Prime Coats,32 12 13.19
Asphaltic Prime Coats,32 12 13.23
Plant-Mix Asphalt Paving,32 12 16.13
Road-Mix Asphalt Paving,32 12 16.16
Cold-Mix Asphalt Paving,32 12 16.19
Reinforced Asphalt Paving,32 12 16.23
Fiber-Modified Asphalt Paving,32 12 16.26
Polymer-Modified Asphalt Paving,32 12 16.29
Granulated Rubber-Modified Asphalt Paving,32 12 16.33
Athletic Asphalt Paving,32 12 16.36
Road-Mix Asphalt Paving Wearing Courses,32 12 19.13
Resin-Modified Asphalt Paving Wearing Courses,32 12 19.16
Porous Friction Asphalt Paving Wearing Courses,32 12 19.19
Asphaltic Seal and Fog Coats,32 12 36.13
Coal Tar Seal Coats,32 12 36.16
Coal Tar Seal Coats with Unvulcanized Rubber,32 12 36.19
Fuel-Resistant Sealers,32 12 36.23
Exposed Aggregate Concrete Paving,32 13 13.13
Power-Compacted Concrete Paving,32 13 13.16
Roller-Compacted Concrete Paving,32 13 13.17
Prestressed Concrete Paving,32 13 13.19
Concrete Paving Surface Treatment,32 13 13.23
Stained Concrete Paving,32 13 13.26
Plain Concrete Paving,32 13 13.33
Patterned Concrete Paving,32 13 16.13
Imprinted Concrete Paving,32 13 16.19
Stamped Concrete Paving,32 13 16.23
Fuel-Resistant Concrete Paving Joint Sealants,32 13 73.13
Field-Molded Concrete Paving Joint Sealants,32 13 73.16
Compression Concrete Paving Joint Sealants,32 13 73.19
Interlocking Precast Concrete Unit Paving,32 14 13.13
Precast Concrete Unit Paving Slabs,32 14 13.16
Porous Precast Concrete Unit Paving,32 14 13.19
Permeable Plastic Paving,32 14 33.13
Cast-In-Place Concrete Curbs and Gutters,32 16 13.13
Steel Faced Curbs,32 16 13.16
Precast Concrete Curbs and Gutters,32 16 13.23
Asphalt Curbs,32 16 13.33
Stone Curbs,32 16 13.43
Metal Parking Bumpers,32 17 13.13
Plastic Parking Bumpers,32 17 13.16
Precast Concrete Parking Bumpers,32 17 13.19
Rubber Parking Bumpers,32 17 13.23
Wood Parking Bumpers,32 17 13.26
Painted Pavement Markings,32 17 23.13
Raised Pavement Markings,32 17 23.23
Plastic Pavement Markings,32 17 23.33
Playground Protective Surfacing,32 18 16.13
Baseball Field Surfacing,32 18 23.13
Natural Baseball Field Surfacing,32 18 23.16
Synthetic Baseball Field Surfacing,32 18 23.19
Field Sport Surfacing,32 18 23.23
Natural Field Sport Surfacing,32 18 23.26
Synthetic Field Sport Surfacing,32 18 23.29
Running Track Surfacing,32 18 23.33
Natural Running Track Surfacing,32 18 23.36
Synthetic Running Track Surfacing,32 18 23.39
Recreational Court Surfacing,32 18 23.43
Tennis Court Surfacing,32 18 23.53
Natural Tennis Court Surfacing,32 18 23.56
Synthetic Tennis Court Surfacing,32 18 23.59
Equestrian Surfacing,32 18 23.63
Recreational Court Fences and Gates,32 31 13.23
Tennis Court Fences and Gates,32 31 13.26
Tennis Court Wind Breaker,32 31 13.29
Chain Link Backstops,32 31 13.33
High-Security Chain Link Fences and Gates,32 31 13.53
Decorative Metal Security Fences and Gates,32 31 19.53
Wire Fences with Wood Posts,32 31 26.11
Wire Fences with Steel Posts,32 31 26.13
Segmental Concrete Unit Masonry Retaining Walls,32 32 23.13
Manufactured Modular Walls,32 32 23.16
Site Seating,32 33 43.13
Site Tables,32 33 43.53
Manufactured Metal Security Bollards,32 39 13.11
Hydro-Punching,32 91 13.13
Mulching,32 91 13.16
Planting Soil Mixing,32 91 13.19
Structural Soil Mixing,32 91 13.23
Planting Beds,32 91 13.26
Blanket Planting Soil Stabilization,32 91 16.13
Mat Planting Soil Stabilization,32 91 16.16
Netting Planting Soil Stabilization,32 91 16.19
Topsoil Placement and Grading,32 91 19.13
Mechanical Seeding,32 92 19.13
Hydraulic Seeding,32 92 19.16
Stolonizing,32 92 26.13
